symbol,date,price
Developer,Jan 2013,7100
Developer,Feb 2013,3925
Developer,Mar 2013,1168
Developer,Apr 2013,3650
Developer,May 2013,6550
Developer,Jun 2013,8670
Developer,Jul 2013,12650
Developer,Aug 2013,27825
Developer,Sep 2013,12051
Developer,Oct 2013,36600
Developer,Nov 2013,23650
Developer,Dec 2013,3195
Developer,Jan 2014,3500
Developer,Feb 2014,12700
Developer,Mar 2014,15790
Developer,Apr 2014,23250
Developer,May 2014,4000
Developer,Jun 2014,14900
Developer,Jul 2014,10650
Developer,Aug 2014,2950
Developer,Sep 2014,6700
Developer,Oct 2014,9400
Developer,Nov 2014,25575
Developer,Dec 2014,12000
Developer,Jan 2015,10500
Developer,Feb 2015,11450
Developer,Mar 2015,10500
Developer,Apr 2015,6250
Developer,May 2015,7950
Developer,Jun 2015,30700
Developer,Jul 2015,29400
Developer,Aug 2015,21180
Developer,Sep 2015,40950
Developer,Oct 2015,4550
Large,Jan 2013,1475
Large,Feb 2013,2821
Large,Mar 2013,4950
Large,Apr 2013,11170
Large,May 2013,12800
Large,Jun 2013,22727
Large,Jul 2013,9850
Large,Aug 2013,27310
Large,Sep 2013,17200
Large,Oct 2013,33694
Large,Nov 2013,14201
Large,Dec 2013,3897
Large,Jan 2014,8300
Large,Feb 2014,21989.45
Large,Mar 2014,18286.47
Large,Apr 2014,11880.64
Large,May 2014,5945.4
Large,Jun 2014,18975
Large,Jul 2014,19650
Large,Aug 2014,7697
Large,Sep 2014,5998
Large,Oct 2014,8700
Large,Nov 2014,2025
Large,Dec 2014,23351
Large,Jan 2015,9350
Large,Feb 2015,7800
Large,Mar 2015,7275
Large,Apr 2015,5800
Large,May 2015,9750
Large,Jun 2015,29200
Large,Jul 2015,32460
Large,Aug 2015,36573.11
Large,Sep 2015,48208
Large,Oct 2015,2000
Small,Jan 2013,475
Small,Feb 2013,1737
Small,Mar 2013,1815
Small,Apr 2013,1500
Small,May 2013,3790
Small,Jun 2013,5914
Small,Jul 2013,4476
Small,Aug 2013,13382.01
Small,Sep 2013,15681
Small,Oct 2013,20430
Small,Nov 2013,12273
Small,Dec 2013,4445
Small,Jan 2014,1475
Small,Feb 2014,4800.56
Small,Mar 2014,6582.62
Small,Apr 2014,6737.03
Small,May 2014,4485.93
Small,Jun 2014,7340
Small,Jul 2014,5381
Small,Aug 2014,5720
Small,Sep 2014,6745
Small,Oct 2014,9304
Small,Nov 2014,850
Small,Dec 2014,7973
Small,Jan 2015,2895
Small,Feb 2015,4170
Small,Mar 2015,1535
Small,Apr 2015,2000
Small,May 2015,1875
Small,Jun 2015,7582
Small,Jul 2015,7433
Small,Aug 2015,12550
Small,Sep 2015,24463.99
Small,Oct 2015,1700
